Dia,Precipitacao,Vazao,Captacao
2021-01-01,0.8,14.1883,0.356416667
2021-01-02,0,9.4256,0.363847222
2021-01-03,9.8,7.8241,0.371625
2021-01-04,0.2,9.3743,0.354388889
2021-01-05,0.4,9.7369,0.366076389
2021-01-06,5.2,9.9237,0.301229167
2021-01-07,4.8,9.9444,0.269284722
2021-01-08,1.6,9.3041,0.223729167
2021-01-09,3.4,9.4952,0.293895833
2021-01-10,5,11.5069,0.267652778
2021-01-11,16,13.8076,0.231131944
2021-01-12,2.4,16.8267,0.337125
2021-01-13,46.8,20.2179,0.298145833
2021-01-14,0.4,29.9209,0.262402778
2021-01-15,14.4,29.6533,0.365347222
2021-01-16,14,25.3861,0.3186875
2021-01-17,1.6,23.0013,0.352506944
2021-01-18,0.2,19.7333,0.265930556
2021-01-19,5,17.1256,0.330708333
2021-01-20,0,14.482,0.385298611
2021-01-21,0,10.3676,0.357145833
2021-01-22,0,7.1753,0.369256944
2021-01-23,1.4,6.4945,0.286618056
2021-01-24,0,7.1929,0.287118056
2021-01-25,3.2,8.0309,0.319361111
2021-01-26,1.8,9.7737,0.329090278
2021-01-27,0,10.7652,0.357590278
2021-01-28,0,10.4888,0.3900625
2021-01-29,0,9.0874,0.3346875
2021-01-30,0,7.6412,0.351277778
2021-01-31,0,6.529,0.292979167
2021-02-01,0.2,6.0664,0.368069444
2021-02-02,3,6.5963,0.32425
2021-02-03,1,7.9903,0.2469375
2021-02-04,0,8.8766,0.3784375
2021-02-05,25.6,10.3361,0.379166667
2021-02-06,0,13.6513,0.335888889
2021-02-07,0,14.6301,0.318604167
2021-02-08,0,14.1988,0.388236111
2021-02-09,0,12.3203,0.326645833
2021-02-10,8.2,10.16,0.358479167
2021-02-11,35.2,10.5585,0.341270833
2021-02-12,7.6,10.75,0.260041667
2021-02-13,9.2,11.106,0.358506944
2021-02-14,0.2,13.4738,0.2684375
2021-02-15,0.2,14.7444,0.370930556
2021-02-16,2.8,12.8546,0.343944444
2021-02-17,11.6,9.8664,0.357784722
2021-02-18,0.4,9.3562,0.344048611
2021-02-19,0.2,8.5515,0.320659722
2021-02-20,0,5.9702,0.251701389
2021-02-21,0,4.7195,0.329416667
2021-02-22,0,5.1642,0.326652778
2021-02-23,0,7.2618,0.343722222
2021-02-24,0.4,8.6989,0.358319444
2021-02-25,8.8,10.3912,0.258895833
2021-02-26,1.2,11.0713,0.374965278
2021-02-27,4,11.6602,0.352256944
2021-02-28,0.2,11.7301,0.342229167
2021-03-01,0.6,11.0316,0.336520833
2021-03-02,0,10.1487,0.366673611
2021-03-03,0.4,9.353,0.292631944
2021-03-04,1.6,8.7205,0.362618056
2021-03-05,13.4,8.255,0.336895833
2021-03-06,39,9.7906,0.368979167
2021-03-07,16.8,15.8185,0.384784722
2021-03-08,0,19.2821,0.291972222
2021-03-09,3.4,22.2859,0.329458333
2021-03-10,0.2,20.1464,0.364888889
2021-03-11,3.4,16.7726,0.350083333
2021-03-12,2.6,12.2776,0.360375
2021-03-13,0,8.5559,0.313305556
2021-03-14,51.6,7.7405,0.315777778
2021-03-15,0,9.0923,0.339798611
2021-03-16,0,9.1517,0.305263889
2021-03-17,0,9.9491,0.357902778
2021-03-18,34.8,13.2783,0.218888889
2021-03-19,0,15.2074,0.248840278
2021-03-20,0,14.1566,0.369368056
2021-03-21,0,13.7249,0.343972222
2021-03-22,0,12.1364,0.357604167
2021-03-23,0.2,9.4359,0.361284722
2021-03-24,0,7.4212,0.330076389
2021-03-25,0,6.7317,0.327729167
2021-03-26,0,7.0857,0.373993056
2021-03-27,0.2,7.3214,0.218784722
2021-03-28,0,8.3556,0.3384375
2021-03-29,0,9.0832,0.362694444
2021-03-30,13.6,10.1604,0.29025
2021-03-31,0.4,11.3479,0.314458333
2021-04-01,0,11.4169,0.395041667
2021-04-02,0,11.4444,0.338111111
2021-04-03,0,11.1958,0.2405
2021-04-04,0,10.7626,0.289270833
2021-04-05,0,10.303,0.263881944
2021-04-06,2.4,10.0286,0.364305556
2021-04-07,0,9.872,0.335729167
2021-04-08,0,9.72,0.317791667
2021-04-09,0,9.5451,0.369479167
2021-04-10,0,9.3745,0.317118056
2021-04-11,0.2,9.2016,0.129895833
2021-04-12,0.2,9.1061,0.214493056
2021-04-13,0,9.058,0.384756944
2021-04-14,0,9.2289,0.252118056
2021-04-15,0,9.6993,0.330326389
2021-04-16,0,10.0789,0.344208333
2021-04-17,0,10.3251,0.338020833
2021-04-18,2,10.9485,0.364263889
2021-04-19,0,10.7738,0.358895833
2021-04-20,0,10.7775,0.335756944
2021-04-21,0,10.6999,0.376319444
2021-04-22,0,10.5124,0.359583333
2021-04-23,0,10.2297,0.327395833
2021-04-24,0,10.0369,0.11
2021-04-25,0.2,9.9119,0.142881944
2021-04-26,0,9.8741,0.366152778
2021-04-27,0,9.8936,0.340298611
2021-04-28,0,9.8733,0.281534722
2021-04-29,0,9.7924,0.216145833
2021-04-30,0,9.7085,0.366694444